AoA,CL_CFD,CD_CFD,CL_PM,CD_PM
-180.0,2.3660176159526866e-16,0.02,,
-175.0,0.16774413962625478,0.03329321611431796,,
-170.0,0.3303914584525959,0.07276895681233012,,
-165.0,0.48300000000000043,0.1372277716886164,,
-160.0,0.6209328309571972,0.22471111227089438,,
-155.0,0.7399989320529329,0.33256084152427823,,
-150.0,0.8365805400557678,0.4574999999999999,,
-145.0,0.9077430716791876,0.5957323745900396,,
-140.0,0.9513242894097932,0.7430578445414363,,
-135.0,0.9660000000000001,0.8950000000000002,,
-130.0,0.951324289409793,1.046942155458564,,
-125.0,0.9077430716791877,1.1942676254099598,,
-120.0,0.8365805400557675,1.3325000000000002,,
-115.0,0.7399989320529327,1.4574391584757223,,
-110.0,0.620932830957197,1.5652888877291058,,
-105.0,0.48300000000000015,1.652772228311384,,
-100.0,0.33039145845259593,1.7172310431876696,,
-95.0,0.16774413962625487,1.756706783885682,,
-90.0,-1.1830088079763433e-16,1.77,,
-85.0,-0.16774413962625465,1.756706783885682,,
-80.0,-0.33039145845259615,1.7172310431876696,,
-75.0,-0.48299999999999993,1.652772228311384,,
-70.0,-0.6209328309571972,1.5652888877291056,,
-65.0,-0.7399989320529328,1.4574391584757218,,
-60.0,-0.8365805400557678,1.3324999999999998,,
-55.0,-0.9077430716791877,1.19426762540996,,
-50.0,-0.951324289409793,1.046942155458564,,
-45.0,-0.9660000000000001,0.8949999999999998,,
-40.0,-0.951324289409793,0.7430578445414358,,
-35.0,-0.9077430716791876,0.5957323745900398,,
-30.0,-0.8365805400557678,0.4574999999999999,,
-25.0,-0.7399989320529328,0.3325608415242781,-2.4125699647107317,0.07674999999999998
-24.0,,,-2.302907693587517,0.07136
-23.0,,,-2.193245422464302,0.06618999999999998
-22.0,,,-2.0835831513410863,0.06124
-21.0,,,-1.9739208802178716,0.05651
-20.0,-0.620932830957197,0.2247111122708942,-1.8642586090946562,0.052
-19.0,,,-1.7545963379714415,0.047709999999999995
-18.0,,,-1.6449340668482262,0.04364
-17.0,,,-1.5352717957250113,0.03978999999999999
-16.0,,,-1.4256095246017961,0.036160000000000005
-15.0,-0.48299999999999993,0.13722777168861616,-1.3159472534785808,0.03275
-14.0,,,-1.2062849823553659,0.029559999999999996
-13.0,,,-1.096622711232151,0.026590000000000003
-12.0,,,-0.9869604401089358,0.02384
-11.0,,,-0.8772981689857206,0.021310000000000003
-10.0,-0.5074926213646564,0.07276895681233016,-0.7676358978625055,0.019
-9.0,,,-0.6579736267392905,0.01691
-8.0,,,-0.5483113556160755,0.015040000000000001
-7.0,,,-0.4386490844928604,0.013389999999999999
-6.0,,,-0.3289868133696453,0.01196
-5.0,-0.14499789181847328,0.033293216114317944,-0.21932454224643014,0.01075
-4.0,,,-0.10966227112321507,0.009760000000000001
-3.0,,,0.0,0.00899
-2.0,,,0.10966227112321511,0.00844
-1.0,,,0.21932454224643022,0.008110000000000001
0.0,0.21749683772770997,0.02,0.3289868133696453,0.008
1.0,,,0.4386490844928604,0.008110000000000001
2.0,,,0.5483113556160755,0.00844
3.0,,,0.6579736267392906,0.00899
4.0,,,0.7676358978625056,0.009760000000000001
5.0,0.5799915672738931,0.033293216114317944,0.8772981689857208,0.01075
6.0,,,0.9869604401089358,0.01196
7.0,,,1.096622711232151,0.013389999999999999
8.0,,,1.2062849823553659,0.015040000000000001
9.0,,,1.3159472534785812,0.01691
10.0,0.9424862968200765,0.07276895681233016,1.4256095246017961,0.019
11.0,,,1.5352717957250113,0.021310000000000003
12.0,,,1.6449340668482266,0.02384
13.0,,,1.7545963379714415,0.026590000000000003
14.0,,,1.8642586090946567,0.029559999999999996
15.0,1.3049810263662598,0.13722777168861616,1.9739208802178716,0.03275
16.0,,,2.0835831513410867,0.036160000000000005
17.0,,,2.193245422464302,0.03978999999999999
18.0,,,2.302907693587517,0.04364
